"Site";"Rio";"Segmento";"Ponto_N";"Bacia";"Trecho";"Habitat";"Data";"Data_txt";"Coleta";"Ponto";"Ref_site";"Especie";"Compr.total_mm";"Compr.padrao_mm";"Altura_mm";"Peso_mg";"Peso_g";"RPC";"Observação.(*)";"Amostra_tipo";"Etiqueta1";"Etiqueta2";"No._Peixe1";"Etiqueta3";"No._Peixe2";"Peso_epp_g";"Peso_úmido_g";"Peso_brânquia_mg";"Fluorescência_rfu_T1";"Fluorescência_rfu_T2";"Fluorescência_rfu_T3";"Fluorescência_rfu_M";"Rodamina_rfu_mg";"Peso_epp_brânquias_g";"Peso_epp_úmido_brânquias_g";"Peso_epp_seco_brânquias_mg";"Peso_úmido_brânquias_mg";"Peso_seco_brânquias_mg";"TH_branquia";"TH_branquia_p";"Peso_epp_músculo_g";"Peso_epp_úmido_músculo_g";"Peso_epp_seco_músculo_mg";"Peso_úmido_músculo_mg";"Peso_seco_músculo_mg";"TH_musculo";"TH_musculo_p";"Proteinas_Totais_mg"
"AD3-7-1";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";41.5;33.5;12.3;587;0.587;0.042433734939759;NA;"th";"AD3-7-1";"AD3-7-1";"1";"AD3-7-1";"1";NA;NA;NA;NA;NA;NA;NA;NA;"0.92749999999999999";"0.93720000000000003";"0.92930000000000001";"9.7000000000000003E-3";"1.8E-3";"0.8144329897";"81.443298970000001";"0.90449999999999997";"0.94610000000000005";"0.91349999999999998";"4.1599999999999998E-2";"8.9999999999999993E-3";"0.7836538462";"78.36538462";31.875
"AD3-7-2";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";40;21.9;10.8;508;0.508;0.0381;NA;"th";"AD3-7-2";"AD3-7-2";"2";"AD3-7-2";"2";NA;NA;NA;NA;NA;NA;NA;NA;"0.93230000000000002";"0.94340000000000002";"0.93459999999999999";"1.11E-2";"2.3E-3";"0.79279279280000003";"79.279279279999997";"0.92290000000000005";"0.95840000000000003";"0.92930000000000001";"3.5499999999999997E-2";"6.4000000000000003E-3";"0.81971830990000005";"81.971830990000001";NA
"AD3-7-3";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";24;20.5;6.7;123;0.123;0.015375;NA;"th";"AD3-7-3";"AD3-7-3";"3";"AD3-7-3";"3";NA;NA;NA;NA;NA;NA;NA;NA;"0.90869999999999995";"0.9123";"0.90920000000000001";"3.5999999999999999E-3";"5.0000000000000001E-4";"0.86111111110000005";"86.111111109999996";"0.93469999999999998";"0.94869999999999999";"0.93759999999999999";"1.4E-2";"2.8999999999999998E-3";"0.79285714289999998";"79.285714290000001";NA
"AD3-7-4";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";43.1;33.6;11.5;597;0.597;0.041554524361949;NA;"th";"AD3-7-4";"AD3-7-4";"4";"AD3-7-4";"4";NA;NA;NA;NA;NA;NA;NA;NA;"0.92959999999999998";"0.93700000000000006";"0.93020000000000003";"7.4000000000000003E-3";"5.9999999999999995E-4";"0.91891891889999999";"91.891891889999997";"0.92530000000000001";"0.96479999999999999";"0.93379999999999996";"3.95E-2";"8.5000000000000006E-3";"0.78481012660000005";"78.481012660000005";NA
"AD3-7-5";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";40.5;31.2;11.3;469;0.469;0.0347407407407407;NA;"th";"AD3-7-5";"AD3-7-5";"5";"AD3-7-5";"5";NA;NA;NA;NA;NA;NA;NA;NA;"1.1017999999999999";"1.1153999999999999";"1.1040000000000001";"1.3599999999999999E-2";"2.2000000000000001E-3";"0.83823529409999997";"83.823529410000006";"0.89839999999999998";"0.94979999999999998";"0.9093";"5.1400000000000001E-2";"1.09E-2";"0.78793774319999998";"78.793774319999997";NA
"AD3-7-6";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";43.4;33.1;12.4;665;0.665;0.0459677419354839;NA;"th";"AD3-7-6";"AD3-7-6";"6";"AD3-7-6";"6";NA;NA;NA;NA;NA;NA;NA;NA;"1.1173999999999999";"1.1245000000000001";"1.1188";"7.1000000000000004E-3";"1.4E-3";"0.80281690139999995";"80.281690139999995";"0.90769999999999995";"0.95409999999999995";"0.91810000000000003";"4.6399999999999997E-2";"1.04E-2";"0.77586206899999999";"77.586206899999993";NA
"AD3-7-7";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";25.7;21.8;7.9;171;0.171;0.0199610894941634;NA;"th";"AD3-7-7";"AD3-7-7";"7";"AD3-7-7";"7";NA;NA;NA;NA;NA;NA;NA;NA;"0.91949999999999998";"0.96799999999999997";"0.9204";"4.8500000000000001E-2";"8.9999999999999998E-4";"0.98144329900000005";"98.144329900000002";"0.91579999999999995";"0.94769999999999999";"0.91920000000000002";"3.1899999999999998E-2";"3.3999999999999998E-3";"0.89341692790000005";"89.341692789999996";NA
"AD3-7-8";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";44.1;34;12.3;657;0.657;0.0446938775510204;NA;"th";"AD3-7-8";"AD3-7-8";"8";"AD3-7-8";"8";NA;NA;NA;NA;NA;NA;NA;NA;"0.92320000000000002";"0.93810000000000004";"0.9254";"1.49E-2";"2.2000000000000001E-3";"0.85234899330000002";"85.234899330000005";"0.91210000000000002";"0.95050000000000001";"0.92010000000000003";"3.8399999999999997E-2";"8.0000000000000002E-3";"0.79166666669999997";"79.166666669999998";NA
"AD3-7-9";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";38.6;30.1;10.5;404;0.404;0.03139896373057;NA;"th";"AD3-7-9";"AD3-7-9";"9";"AD3-7-9";"9";NA;NA;NA;NA;NA;NA;NA;NA;"0.91180000000000005";"0.91849999999999998";"0.91339999999999999";"6.7000000000000002E-3";"1.6000000000000001E-3";"0.76119402989999996";"76.119402989999998";"0.92510000000000003";"0.95779999999999998";"0.93259999999999998";"3.27E-2";"7.4999999999999997E-3";"0.77064220179999998";"77.064220180000007";NA
"AD3-7-10";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";32.1;23.9;9;264;0.264;0.0246728971962617;NA;"th";"AD3-7-10";"AD3-7-10";"10";"AD3-7-10";"10";NA;NA;NA;NA;NA;NA;NA;NA;"0.91600000000000004";"0.9244";"0.9173";"8.3999999999999995E-3";"1.2999999999999999E-3";"0.84523809520000004";"84.52380952";"0.91900000000000004";"0.92949999999999999";"0.92120000000000002";"1.0500000000000001E-2";"2.2000000000000001E-3";"0.79047619049999995";"79.047619049999994";NA
"4-8-54";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";33.1;27.4;10.2;445;0.445;0.0403323262839879;NA;"rd";"4-8-54";"4-8-54";"P54";"4-8-54";"P54";0.9092;0.9215;12.3;818546;804249;883089;835294.666666667;67910.1355013551;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-55";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";31.4;24.1;8.6;263;0.263;0.0251273885350319;NA;"rd";"4-8-55";"4-8-55";"P55";"4-8-55";"P55";0.9305;0.9368;6.29999999999997;832134;853734;870084;851984;135235.555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-56";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";36;25.9;8.9;328;0.328;0.0273333333333333;NA;"rd";"4-8-56";"4-8-56";"P56";"4-8-56";"P56";0.9157;0.9249;9.2000000000001;513194;574454;563636;550428;59829.130434782;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-57";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";40.4;31.1;11.6;589;0.589;0.0437376237623762;NA;"rd";"4-8-57";"4-8-57";"P57";"4-8-57";"P57";1.1179;1.1283;10.4000000000002;518103;518023;530322;522149.333333333;50206.6666666658;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-58";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";28.7;25.3;9.2;294;0.294;0.0307317073170732;NA;"rd";"4-8-58";"4-8-58";"P58";"4-8-58";"P58";0.9337;0.9445;10.8;642200;730266;729432;700632.666666667;64873.3950617282;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-59";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";34;26.4;9.1;43;0.043;0.00379411764705882;NA;"rd";"4-8-59";"4-8-59";"P59";"4-8-59";"P59";0.9139;0.9224;8.49999999999995;728542;716977;734826;726781.666666667;85503.7254901965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-60";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";30;23.1;7.8;251;0.251;0.0251;NA;"rd";"4-8-60";"4-8-60";"P60";"4-8-60";"P60";0.9297;0.9381;8.40000000000007;562185;579132;621089;587468.666666667;69936.7460317454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-61";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";32.8;26.8;8.6;331;0.331;0.0302743902439024;NA;"rd";"4-8-61";"4-8-61";"P61";"4-8-61";"P61";0.9124;0.922;9.60000000000005;554264;645907;715747;638639.333333333;66524.9305555552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-62";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Astyanax bimaculatus";31;25.4;8.8;305;0.305;0.0295161290322581;NA;"rd";"4-8-62";"4-8-62";"P62";"4-8-62";"P62";0.9161;0.9269;10.7999999999999;395925;375231;480233;417129.666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-63";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";30.2;23.9;8.1;221;0.221;0.021953642384106;NA;"rd";"4-8-63";"4-8-63";"P63";"4-8-63";"P63";0.9156;0.9249;9.30000000000009;650106;558413;642942;617153.666666667;66360.6093189958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-64";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";31.7;23;8.3;246;0.246;0.0232807570977918;NA;"rd";"4-8-64";"4-8-64";"P64";"4-8-64";"P64";0.9301;0.937;6.90000000000002;454406;481012;561123;498847;72296.6666666665;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-65";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";29.5;23.4;7.7;244;0.244;0.0248135593220339;NA;"rd";"4-8-65";"4-8-65";"P65";"4-8-65";"P65";0.9204;0.9292;8.80000000000003;285421;291668;228531;268540;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-66";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";29.6;24.2;9.2;290;0.29;0.0293918918918919;NA;"rd";"4-8-66";"4-8-66";"P66";"4-8-66";"P66";1.1163;1.119;2.69999999999992;200075;225880;236570;220841.666666667;81793.2098765455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-67";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";27;24;7.2;230;0.23;0.0255555555555556;"*estimado (4-8-66)";"rd";"4-8-67";"4-8-67";"P67";"4-8-67";"P67";1.1226;1.1299;7.29999999999986;446471;467817;431351;448546.333333333;61444.7031963482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-68";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";32.1;24.3;8.5;269;0.269;0.0251401869158879;NA;"rd";"4-8-68";"4-8-68";"P68";"4-8-68";"P68";0.9005;0.9043;3.80000000000003;228531;256117;305967;263538.333333333;69352.1929824557;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-69";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";28.5;24.6;7.4;232;0.232;0.0244210526315789;NA;"rd";"4-8-69";"4-8-69";"P69";"4-8-69";"P69";0.924;0.9316;7.59999999999994;480270;575397;593321;549662.666666667;72324.0350877199;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:1";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";29.6;22.7;7.1;235;0.235;0.0238175675675676;NA;"xx";"4-8-XcRB:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:2";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";22.2;19.5;5.6;118;0.118;0.0159459459459459;NA;"xx";"4-8-XcRB:2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:3";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";35.2;27.8;7.8;370;0.37;0.0315340909090909;NA;"xx";"4-8-XcRB:3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:4";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";27.8;22.1;6.8;207;0.207;0.0223381294964029;NA;"xx";"4-8-XcRB:4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:5";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";23.8;19.1;5.4;128;0.128;0.0161344537815126;NA;"xx";"4-8-XcRB:5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:6";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";33;25.7;9.4;392;0.392;0.0356363636363636;NA;"xx";"4-8-XcRB:6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:7";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";26.5;21.4;7.3;209;0.209;0.0236603773584906;NA;"xx";"4-8-XcRB:7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:8";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";30.7;24.8;7.2;215;0.215;0.0210097719869707;NA;"xx";"4-8-XcRB:8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:9";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";33.4;26;7.9;275;0.275;0.0247005988023952;NA;"xx";"4-8-XcRB:9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:10";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";26.5;21.1;7.3;184;0.184;0.0208301886792453;NA;"xx";"4-8-XcRB:10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:11";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";33.6;28.5;8.1;376;0.376;0.0335714285714286;NA;"xx";"4-8-XcRB:11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:12";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";29.9;27.5;7.4;355;0.355;0.03561872909699;NA;"xx";"4-8-XcRB:12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:13";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";25.2;21;5.1;136;0.136;0.0161904761904762;NA;"xx";"4-8-XcRB:13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:14";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";26.1;22.3;6.5;185;0.185;0.021264367816092;NA;"xx";"4-8-XcRB:14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:15";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";28.9;21.2;6.6;197;0.197;0.0204498269896194;NA;"xx";"4-8-XcRB:15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:16";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";29;22.2;7.4;216;0.216;0.0223448275862069;NA;"xx";"4-8-XcRB:16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:17";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";29.5;23.3;8;263;0.263;0.0267457627118644;NA;"xx";"4-8-XcRB:17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:18";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";22.1;18.7;5.2;107;0.107;0.0145248868778281;NA;"xx";"4-8-XcRB:18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:19";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";22.4;18.3;5.4;101;0.101;0.0135267857142857;NA;"xx";"4-8-XcRB:19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XcRB:20";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";27.5;22;6.3;181;0.181;0.0197454545454545;NA;"xx";"4-8-XcRB:20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:1";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";31;25.1;6.7;256;0.256;0.0247741935483871;NA;"xx";"4-8-XsRB:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:2";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";29.1;22.8;6.5;220;0.22;0.022680412371134;NA;"xx";"4-8-XsRB:2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:3";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";23.1;19;4.6;103;0.103;0.0133766233766234;NA;"xx";"4-8-XsRB:3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:4";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";38.9;30.3;8.2;482;0.482;0.037172236503856;NA;"xx";"4-8-XsRB:4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:5";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";25;22.7;6.2;172;0.172;0.02064;NA;"xx";"4-8-XsRB:5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:6";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";31.3;25.8;7.6;309;0.309;0.0296166134185304;NA;"xx";"4-8-XsRB:6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:7";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";22.2;18.7;5.5;123;0.123;0.0166216216216216;NA;"xx";"4-8-XsRB:7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:8";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";18.6;15.3;4.3;78;0.078;0.0125806451612903;NA;"xx";"4-8-XsRB:8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
